mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0.9956458210945128,64,160,256,0.3,0.0003874729232801,128
0.9956458210945128,256,192,64,0.5,0.0006402236858833,96
0.9956458210945128,192,192,160,0.2,0.0003126665514746,96
0.9956458210945128,32,256,256,0.8,0.0010575697475283,192
0.9956458210945128,160,128,256,0.4,0.0005195980279086,192
0.9956458210945128,192,192,256,0.7000000000000001,0.0001715515114761,160
0.9956458210945128,128,224,160,0.4,0.0004816477845245,96
0.9956458210945128,32,96,256,0.7000000000000001,0.0010864325520939,160
0.9956458210945128,128,224,224,0.6,0.0004295489238381,64
0.9956458210945128,160,192,128,0.2,0.0004620103367161,64
0.9956458210945128,224,32,192,0.5,0.0006829551087266,160
0.9956458210945128,128,256,256,0.6,0.0018516864311851,224
0.9956458210945128,192,128,160,0.6,0.0001049451462933,32
0.9956250190734864,192,96,128,0.7000000000000001,0.0004578972136217,64
0.9956250190734864,256,256,160,0.5,0.0008458403820081,96
0.9956250190734864,224,96,160,0.2,0.0004835960268626,96
0.9956250190734864,128,160,160,0.4,0.0005312719277854,192
0.9956250190734864,192,192,64,0.6,0.0008213805680931,192
0.9956250190734864,224,160,256,0.4,0.0011548455449481,192
0.9956250190734864,192,160,256,0.5,0.0009898183759494,96
0.9956250190734864,128,224,160,0.4,0.0004816477845245,96
0.9956250190734864,128,256,224,0.5,0.0005334545424135,32
0.9956250190734864,256,96,160,0.6,0.0006922914402371,32
0.9956250190734864,64,96,160,0.6,0.0004511920348877,224
0.9956250190734864,256,256,256,0.6,0.0011882296480421,224
0.9956250190734864,160,64,256,0.2,0.0005060355280949,128
0.9956250190734864,32,256,96,0.7000000000000001,0.0006068110204571,128
0.9956250190734864,64,256,192,0.8,0.0008334295734522,224
0.9956041574478148,64,224,128,0.4,0.0004597879213665,160
0.9956041574478148,224,224,224,0.5,0.000987831434124,160
0.9956041574478148,64,128,224,0.4,0.0015444781741564,160
0.9956041574478148,192,128,160,0.8,0.0003584911744295,160
0.9956041574478148,128,256,192,0.8,0.0007905622659491,160
0.9956041574478148,32,64,256,0.5,0.0008510823262279,64
0.9956041574478148,128,224,160,0.4,0.0001194628572462,64
0.9956041574478148,128,224,192,0.6,0.0009674781912297,192
0.9956041574478148,224,128,256,0.3,0.000271968684133,192
0.9956041574478148,192,128,192,0.4,0.0003206166563382,192
0.9956041574478148,192,96,96,0.6,0.0005217018910251,192
0.9956041574478148,32,128,192,0.7000000000000001,0.0010470703300439,192
0.9956041574478148,256,256,128,0.2,0.0002681749884376,64
0.9956041574478148,192,128,224,0.4,0.0009635513804323,128
0.9956041574478148,32,160,128,0.2,0.0005595977770079,128
0.9956041574478148,192,96,224,0.6,0.0010314280897923,224
0.9956041574478148,160,256,256,0.9,0.0004147014701918,224
0.9956041574478148,192,96,256,0.5,0.0021971656107059,224
0.9956041574478148,192,192,256,0.5,0.0006766435736156,128
0.9956041574478148,224,160,224,0.2,0.0002117018483773,32
0.9956041574478148,256,256,256,0.6,0.0011882296480421,224
0.9956041574478148,160,256,128,0.3,0.000107396173964,32
0.9956041574478148,32,224,160,0.5,0.0004503919820457,32
0.9955833554267884,128,192,160,0.4,0.0005061452043306,32
